unidade;setor;ano;mes;pacientes_lp;saidas;tx_lp
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;1;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;2;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;3;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;4;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;5;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;6;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;7;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;8;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;9;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;10;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;11;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;12;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;1;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;2;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;3;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;4;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;5;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;6;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;7;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;8;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;9;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;10;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;11;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;12;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2025;1;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2025;2;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2025;3;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2025;4;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2025;5;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2025;6;0;0;
